abstract,keywords,country
"Recent years have seen a lot of progress in algorithms for learning parameters of spreading dynamics from both full and partial data. Some of the remaining challenges include model selection under the scenarios of unknown network structure, noisy data, missing observations in time, as well as an efficient incorporation of prior information to minimize the number of samples required for an accurate learning. Here, we introduce a universal learning method based on scalable dynamic message-passing technique that addresses these challenges often encountered in real data. The algorithm leverages available prior knowledge on the model and on the data, and reconstructs both network structure and parameters of a spreading model. We show that a linear computational complexity of the method with the key model parameters makes the algorithm scalable to large network instances.",[],[]
,[],[]
,[],[]
"The prediction of tumor progression and chemotherapy response has been recently tackled exploiting Tumor Infiltrating Lymphocytes (TILs) and the nuclear protein Ki67 as prognostic factors.
Recently, deep neural networks (DNNs) have been shown to achieve top results in estimating Ki67 expression and simultaneous determination of intratumoral TILs score in breast cancer cells. However,
in the last ten years the extraordinary progress induced by deep models proliferated
at least as much as their resource demand.
The exorbitant computational costs required to query (and in some cases also to store) a deep model represent a strong limitation in resource-limited contexts, like that of IoT-based applications to support healthcare personnel.
To this end, we propose a resource consumption-aware DNN for the effective estimate of the percentage of Ki67-positive cells in breast cancer screenings. Our approach reduced up to 75%percent7575\%75 % and 89%percent8989\%89 % the usage of memory and disk space respectively, up to 1.5×1.5\times1.5 × the energy consumption, and preserved or improved the overall accuracy of a benchmark state-of-the-art solution. Encouraged by such positive results, we developed and structured the adopted framework so as to allow its general purpose usage, along with a public software repository to support its usage.","['Tumor infiltrating lymphocytes', 'Ki67 protein', 'Resource-limited learning', 'Resource-limited devices', 'DNN compression', 'Deep learning.']",['Italy']
"Growth in the penetration of renewable energy sources makes supply more uncertain and leads to an increase in the system imbalance. This trend, together with the single imbalance pricing, opens an opportunity for balance responsible parties (BRPs) to perform energy arbitrage in the imbalance settlement mechanism. To this end, we propose a battery control framework based on distributional reinforcement learning (DRL). Our proposed control framework takes a risk-sensitive perspective, allowing BRPs to adjust their risk preferences: we aim to optimize a weighted sum of the arbitrage profit and a risk measure while constraining the daily number of cycles for the battery. We assess the performance of our proposed control framework using the Belgian imbalance prices of 2022 and compare two state-of-the-art RL methods, deep Q learning and soft actor-critic. Results reveal that the distributional soft actor-critic method can outperform other methods. Moreover, we note that our fully risk-averse agent appropriately learns to hedge against the risk related to the unknown imbalance price by (dis)charging the battery only when the agent is more certain about the price.",[],[]
"The potential for augmenting the segmentation of brain tumors through the use of few-shot learning is vast. Although several deep learning networks (DNNs) demonstrate promising results in terms of segmentation, they require a substantial quantity of training data in order to produce suitable outcomes. Furthermore, a major issue faced by most of these models is their ability to perform well when faced with unseen classes. To address these challenges, we propose a one-shot learning model for segmenting brain tumors in magnetic resonance images (MRI) of the brain, based on a single prototype similarity score. Leveraging the recently developed techniques of few-shot learning, which involve the utilization of support and query sets of images for training and testing purposes, we strive to obtain a definitive tumor region by focusing on slices that contain foreground classes. This approach differs from other recent DNNs that utilize the entire set of images. The training process for this model is carried out iteratively, with each iteration involving the selection of random slices that contain foreground classes from randomly sampled data as the query set, along with a different random slice from the same sample as the support set. In order to distinguish the query images from the class prototypes, we employ a metric learning-based approach that relies on non-parametric thresholds. We employ the multimodal Brain Tumor Image Segmentation (BraTS) 2021 dataset, which comprises 60 training images and 350 testing images. The effectiveness of the model is assessed using the mean dice score and mean Intersection over Union (IoU) score. The experimental results demonstrate a dice score of 83.42, which exceeds the performance of other works in the literature. Moreover, the proposed one-shot segmentation model surpasses conventional methods in terms of computational time, memory usage, and the amount of data employed.","['brain tumor', 'magnetic resonance images', 'few-shot learning']",[]
"I use QAOA to solve the Hamiltonian Circle problem. First, inspired by Lucas [8], I define the QUBO form of Hamiltonian Cycle an transform it to a quantum circuit by embedding the problem of n𝑛nitalic_n vertices to an encoding of (n−1)2superscript𝑛12(n-1)^{2}( italic_n - 1 ) start_POSTSUPERSCRIPT 2 end_POSTSUPERSCRIPT qubits. Then, I calcluate the spectrum of the cost hamiltonian for both triangle case and square case and justify my definition. I also write a python program to generate the cost hamiltonian automatically for finding the hamiltonian cycle in an arbitrary graph. I test the correctess of the hamailtonian by analyze their energy spectrums. Since the (n−1)2superscript𝑛12(n-1)^{2}( italic_n - 1 ) start_POSTSUPERSCRIPT 2 end_POSTSUPERSCRIPT embedding limit my simulation of graph size to be less than 5555, I decide to test the correctness, only for small and simple graph in this project. I implement the QAOA algorithm using qiskit and run the simulation for the triangle case and the square case, which are easy to test the correctness, both with and without noise. A very interesting result I got is that for the square case, the QAOA get much better result on a noisy simulator than a noiseless simulator! The explanation for this phenomena require further investigation, perhaps quantum noise can actually be helpful, rather than harmful in the annealing algorithms. I also use two different kinds of mixer, Rxsubscript𝑅𝑥R_{x}italic_R start_POSTSUBSCRIPT italic_x end_POSTSUBSCRIPT mixer and Rysubscript𝑅𝑦R_{y}italic_R start_POSTSUBSCRIPT italic_y end_POSTSUBSCRIPT circuit to run the simulation. It turns out that Rxsubscript𝑅𝑥R_{x}italic_R start_POSTSUBSCRIPT italic_x end_POSTSUBSCRIPT mixer performs much better than Rysubscript𝑅𝑦R_{y}italic_R start_POSTSUBSCRIPT italic_y end_POSTSUBSCRIPT mixer in this problem.",[],[]
"The Bayesian reconstruction entropy is considered an alternative to the Shannon-Jaynes entropy, as it does not exhibit the asymptotic flatness characteristic of the Shannon-Jaynes entropy and obeys the scale invariance. It is commonly utilized in conjunction with the maximum entropy method to derive spectral functions from Euclidean time correlators produced by lattice QCD simulations. This study expands the application of the Bayesian reconstruction entropy to the reconstruction of spectral functions for Matsubara or imaginary-time Green’s functions in quantum many-body physics. Furthermore, it extends the Bayesian reconstruction entropy to implement the positive-negative entropy algorithm, enabling the analytic continuations of matrix-valued Green’s functions on an element-wise manner. Both the diagonal and off-diagonal components of the matrix-valued Green’s functions are treated equally. Benchmark results for the analytic continuations of synthetic Green’s functions indicate that the Bayesian reconstruction entropy, when combined with the preblur trick, demonstrates comparable performance to the Shannon-Jaynes entropy. Notably, it exhibits greater resilience to noises in the input data, particularly when the noise level is moderate.",[],['China']
"In this article, we discuss how a kind of hybrid computation, which employs symbolic, numeric, classic, and quantum algorithms, allows us to conduct Hartree-Fock electronic structure computation of molecules. In the proposed algorithm, we replace the Hartree-Fock equations with a set of equations composed of multivariate polynomials. We transform those polynomials to the corresponding Gröbner bases, and then we investigate the corresponding quotient ring, wherein the orbital energies, the LCAO coefficients, or the atomic coordinates are represented by the variables in the ring. In this quotient ring, the variables generate the transformation matrices that represent the multiplication with the monomial bases, and the eigenvalues of those matrices compose the roots of the equation. The quantum phase estimation (QPE) algorithm enables us to record those roots in the quantum states, which would be used in the input data for more advanced and more accurate quantum computations.",[],[]
,[],[]
,[],[]
"Let R𝑅Ritalic_R be a finitely generated ℕℕ\mathbb{N}blackboard_N-graded algebra domain over a Noetherian ring and let I𝐼Iitalic_I be a homogeneous ideal of R𝑅Ritalic_R. Given P∈Ass⁡(R/I)𝑃Ass𝑅𝐼P\in\operatorname{Ass}(R/I)italic_P ∈ roman_Ass ( italic_R / italic_I ) one defines the v𝑣vitalic_v-invariant vP⁢(I)subscript𝑣𝑃𝐼v_{P}(I)italic_v start_POSTSUBSCRIPT italic_P end_POSTSUBSCRIPT ( italic_I ) of I𝐼Iitalic_I at P𝑃Pitalic_P as the least c∈ℕ𝑐ℕc\in\mathbb{N}italic_c ∈ blackboard_N such that P=I:f:𝑃𝐼𝑓P=I:fitalic_P = italic_I : italic_f for some f∈Rc𝑓subscript𝑅𝑐f\in R_{c}italic_f ∈ italic_R start_POSTSUBSCRIPT italic_c end_POSTSUBSCRIPT. A classical result of Brodmann [1] asserts that Ass⁡(R/In)Ass𝑅superscript𝐼𝑛\operatorname{Ass}(R/I^{n})roman_Ass ( italic_R / italic_I start_POSTSUPERSCRIPT italic_n end_POSTSUPERSCRIPT ) is constant for large n𝑛nitalic_n. So it makes sense to consider a prime ideal P∈Ass⁡(R/In)𝑃Ass𝑅superscript𝐼𝑛P\in\operatorname{Ass}(R/I^{n})italic_P ∈ roman_Ass ( italic_R / italic_I start_POSTSUPERSCRIPT italic_n end_POSTSUPERSCRIPT ) for all the large n𝑛nitalic_n and investigate how vP⁢(In)subscript𝑣𝑃superscript𝐼𝑛v_{P}(I^{n})italic_v start_POSTSUBSCRIPT italic_P end_POSTSUBSCRIPT ( italic_I start_POSTSUPERSCRIPT italic_n end_POSTSUPERSCRIPT ) depends on n𝑛nitalic_n. We prove that vP⁢(In)subscript𝑣𝑃superscript𝐼𝑛v_{P}(I^{n})italic_v start_POSTSUBSCRIPT italic_P end_POSTSUBSCRIPT ( italic_I start_POSTSUPERSCRIPT italic_n end_POSTSUPERSCRIPT ) is eventually a linear function of n𝑛nitalic_n.
When R𝑅Ritalic_R is the polynomial ring over a field this statement has been proved independently also by Ficarra and Sgroi in their recent preprint [4].","['Associated primes', 'v-invariant']",[]
"Image-to-image translation has gained popularity in the medical field to transform images from one domain to another.
Medical image synthesis via domain transformation is advantageous in its ability to augment an image dataset where images for a given class is limited. From the learning perspective, this process contributes to data-oriented robustness of the model by inherently broadening the model’s exposure to more diverse visual data and enabling it to learn more generalized features. In the case of generating additional neuroimages, it is advantageous to obtain unidentifiable medical data and augment smaller annotated datasets. This study proposes the development of a CycleGAN model for translating neuroimages from one field strength to another (e.g., 3 Tesla to 1.5). This model was compared to a model based on DCGAN architecture. CycleGAN was able to generate the synthetic and reconstructed images with reasonable accuracy. The mapping function from the source (3 Tesla) to target domain (1.5 Tesla) performed optimally with an average PSNR value of 25.69 ±plus-or-minus\pm± 2.49 dB and an MAE value of 2106.27 ±plus-or-minus\pm± 1218.37.",[],[]
,[],[]
"Learning from demonstration is a powerful method for teaching robots new skills, and more demonstration data often improves policy learning. However, the high cost of collecting demonstration data is a significant bottleneck. Videos, as a rich data source, contain knowledge of behaviors, physics, and semantics, but extracting control-specific information from them is challenging due to the lack of action labels. In this work, we introduce a novel framework, Any-point Trajectory Modeling (ATM), that utilizes video demonstrations by pre-training a trajectory model to predict future trajectories of arbitrary points within a video frame. Once trained, these trajectories provide detailed control guidance, enabling the learning of robust visuomotor policies with minimal action-labeled data. Our method’s effectiveness is demonstrated across 130 simulation tasks, focusing on language-conditioned manipulation tasks. Visualizations and code are available at: https://xingyu-lin.github.io/atm.",[],[]
"We reaffirm the claim of Lee et al. [preceding Comment, Phys. Rev. A 108, 066401 (2023)] that the expression of quantum dual total correlation of a multipartite system in terms of quantum relative entropy as proposed in previous work [A. Kumar, Phys. Rev. A 96, 012332 (2017)] is not correct. We provide alternate expression(s) of quantum dual total correlation in terms of quantum relative entropy. We, however, prescribe that in computing quantum dual total correlation one should use its expression in terms of von Neumann entropy.",[],['India']
"Coarse-to-fine schemes are widely used in traditional single-image motion deblur; however, in the context of deep learning, existing multi-scale algorithms not only require the use of complex modules for feature fusion of low-scale RGB images and deep semantics, but also manually generate low-resolution pairs of images that do not have sufficient confidence. In this work, we propose a multi-scale network based on single-input and multiple-outputs(SIMO) for motion deblurring. This simplifies the complexity of algorithms based on a coarse-to-fine scheme. To alleviate restoration defects impacting detail information brought about by using a multi-scale architecture, we combine the characteristics of real-world blurring trajectories with a learnable wavelet transform module to focus on the directional continuity and frequency features of the step-by-step transitions between blurred images to sharp images. In conclusion, we propose a multi-scale network with a learnable discrete wavelet transform (MLWNet), which exhibits state-of-the-art performance on multiple real-world deblurred datasets, in terms of both subjective and objective quality as well as computational efficiency. Our code will be open-sourced on github later.",[],[]
"The laws of model size, data volume, computation and model performance have been extensively studied in the field of Natural Language Processing (NLP). However, the scaling laws in Optical Character Recognition (OCR) have not yet been investigated. To address this, we conducted comprehensive studies that involved examining the correlations between performance and the scale of models, data volume and computation in the field of text recognition. Conclusively, the study demonstrates smooth power laws between performance and model size, as well as training data volume, when other influencing factors are held constant. Additionally, we have constructed a large-scale dataset called REBU-Syn, which comprises 6 million real samples and 18 million synthetic samples. Based on our scaling law and new dataset, we have successfully trained a scene text recognition model, achieving a new state-of-the-art on 6 common test benchmarks with a top-1 average accuracy of 97.42%percent\%%.",[],[]
"Estimating the 6D object pose from a single RGB image often involves noise and indeterminacy due to challenges such as occlusions and cluttered backgrounds.
Meanwhile, diffusion models have shown appealing performance in generating high-quality images from random noise with high indeterminacy through step-by-step denoising.
Inspired by their denoising capability, we propose a novel diffusion-based framework (6D-Diff) to handle the noise and indeterminacy in object pose estimation for better performance.
In our framework, to establish accurate 2D-3D correspondence, we formulate 2D keypoints detection as a reverse diffusion (denoising) process.
To facilitate such a denoising process, we design a Mixture-of-Cauchy-based forward diffusion process and condition the reverse process on the object features.
Extensive experiments on the LM-O and YCB-V datasets demonstrate the effectiveness of our framework.",[],[]
,[],[]
"Decision-making is a dynamic process requiring perception, memory, and reasoning to make choices and find optimal policies.
Traditional approaches to decision-making suffer from sample efficiency and generalization, while large-scale self-supervised pretraining has enabled fast adaptation with fine-tuning or few-shot learning in language and vision.
We thus argue to integrate knowledge acquired from generic large-scale self-supervised pretraining into downstream decision-making problems.
We propose Pretrain-Then-Adapt pipeline and survey recent work on data collection, pretraining objectives and adaptation strategies for decision-making pretraining and downstream inference.
Finally, we identify critical challenges and future directions for developing decision foundation model with the help of generic and flexible self-supervised pretraining.",[],[]
"Computational imaging (CI) has been attracting a lot of interest in recent years for its superiority over traditional imaging in various applications. In CI systems, information is generally acquired in an encoded form and subsequently decoded via processing algorithms, which is quite in line with the information transmission mode of modern communication, and leads to emerging studies from the viewpoint of information optical imaging.
Currently, one of the most important issues to be theoretically studied for CI is to quantitatively evaluate the fundamental ability of information acquisition, which is essential for both objective performance assessment and efficient design of imaging system.
In this paper, by incorporating the Bayesian filtering paradigm, we propose a framework for CI that enables quantitative evaluation and design of the imaging system, and demonstate it based on ghost imaging. In specific, this framework can provide a quantitative evaluation on the acquired information through Fisher information and Cramér-Rao Lower Bound (CRLB), and the intrinsic performance of the imaging system can be accessed in real-time.
With simulation and experiments, the framework is validated and compared with existing linear unbiased algorithms.
In particular, the image retrieval can reach the CRLB.
Furthermore, information-driven adaptive design for optimizing the information acquisition procedure is also achieved.
By quantitative describing and efficient designing, the proposed framework is expected to promote the practical applications of CI techniques.",[],[]
"Design patterns provide a systematic way to convey solutions to recurring modeling challenges. This paper introduces design patterns for hybrid modeling, an approach that combines modeling based on first principles with data-driven modeling techniques. While both approaches have complementary advantages there are often multiple ways to combine them into a hybrid model, and the appropriate solution will depend on the problem at hand. In this paper, we provide four base patterns that can serve as blueprints for combining data-driven components with domain knowledge into a hybrid approach. In addition, we also present two composition patterns that govern the combination of the base patterns into more complex hybrid models. Each design pattern is illustrated by typical use cases from application areas such as climate modeling, engineering, and physics.",[],[]
,[],[]
"Complex dynamical systems are notoriously difficult to model because some degrees of freedom (e.g., small scales) may be computationally unresolvable or are incompletely understood, yet they are dynamically important. For example, the small scales of cloud dynamics and droplet formation are crucial for controlling climate, yet are unresolvable in global climate models. Semi-empirical closure models for the effects of unresolved degrees of freedom often exist and encode important domain-specific knowledge. Building on such closure models and correcting them through learning the structural errors can be an effective way of fusing data with domain knowledge. Here we describe a general approach, principles, and algorithms for learning about structural errors. Key to our approach is to include structural error models inside the models of complex systems, for example, in closure models for unresolved scales. The structural errors then map, usually nonlinearly, to observable data. As a result, however, mismatches between model output and data are only indirectly informative about structural errors, due to a lack of labeled pairs of inputs and outputs of structural error models. Additionally, derivatives of the model may not exist or be readily available. We discuss how structural error models can be learned from indirect data with derivative-free Kalman inversion algorithms and variants, how sparsity constraints enforce a “do no harm” principle, and various ways of modeling structural errors. We also discuss the merits of using non-local and/or stochastic error models. In addition, we demonstrate how data assimilation techniques can assist the learning about structural errors in non-ergodic systems. The concepts and algorithms are illustrated in two numerical examples based on the Lorenz-96 system and a human glucose-insulin model.",[],[]
"We introduce a novel generative model, the Discrete Distribution Networks (DDN), that approximates data distribution using hierarchical discrete distributions. We posit that since the features within a network inherently contain distributional information, liberating the network from a single output to concurrently generate multiple samples proves to be highly effective. Therefore, DDN fits the target distribution, including continuous ones, by generating multiple discrete sample points. To capture finer details of the target data, DDN selects the output that is closest to the Ground Truth (GT) from the coarse results generated in the first layer. This selected output is then fed back into the network as a condition for the second layer, thereby generating new outputs more similar to the GT. As the number of DDN layers increases, the representational space of the outputs expands exponentially, and the generated samples become increasingly similar to the GT. This hierarchical output pattern of discrete distributions endows DDN with two intriguing properties: highly compressed representation and more general zero-shot conditional generation. We demonstrate the efficacy of DDN and these intriguing properties through experiments on CIFAR-10 and FFHQ.",[],[]
"The tasks of designing
messenger RNAs and non-coding RNAs are
discrete optimization problems, and
several versions of these problems are NP-hard.
As an alternative to commonly used local search methods,
we formulate these problems
as continuous optimization and develop
a general framework for this optimization based on
a new concept of “expected partition function”.
The basic idea is to start with a distribution over all possible candidate sequences,
and extend the objective function from a sequence to a distribution. We then use gradient descent-based optimization methods
to improve the extended objective function, and the distribution
will gradually shrink towards a one-hot sequence (i.e., a single sequence).
We consider two important case studies within this framework,
the mRNA design problem
optimizing for partition function (i.e., ensemble free energy)
and the non-coding RNA design problem optimizing for conditional (i.e., Boltzmann) probability.
In both cases, our approach demonstrate promising preliminary results. We make our code available at https://github.com/KuNyaa/RNA_Design_codebase.",[],[]
"We investigate the embedding formalism in conjunction with the Mellin transform to determine tree-level gluon amplitudes in AdS/CFT. Detailed computations of three to five-point correlators are conducted, ultimately distilling what were previously complex results for five-point correlators into a more succinct and comprehensible form. We then proceed to derive a recursion relation applicable to a specific class of n𝑛nitalic_n-point gluon amplitudes. This relation is instrumental in systematically constructing amplitudes for a range of topologies. We illustrate its efficacy by specifically computing six to eight-point functions.
Despite the complexity encountered in the intermediate steps of the recursion, the higher-point correlator is succinctly expressed as a polynomial in boundary coordinates, upon which a specific differential operator acts. Remarkably, we observe that these amplitudes strikingly mirror their counterparts in flat space, traditionally computed using standard Feynman rules. This intriguing similarity has led us to propose a novel dictionary: comprehensive rules that bridge AdS Mellin amplitudes with flat-space gluon amplitudes.",[],[]
,[],[]
"We consider phenomenological aspects of a natural class of
Standard Model-like supersymmetric F-theory vacua realized through
flux breaking of rigid E7subscript𝐸7E_{7}italic_E start_POSTSUBSCRIPT 7 end_POSTSUBSCRIPT gauge factors.
Three
generations of Standard Model matter
are realized in many of these vacua.
We further
find that many other Standard Model-like features
are naturally compatible
with these constructions. For example, dimension-4 and 5 terms associated
with proton decay are ubiquitously suppressed. Many of these features are
due to the group theoretical structure
of E7subscript𝐸7E_{7}italic_E start_POSTSUBSCRIPT 7 end_POSTSUBSCRIPT and associated F-theory geometry. In particular, a set of approximate global symmetries descends
from the E7subscript𝐸7E_{7}italic_E start_POSTSUBSCRIPT 7 end_POSTSUBSCRIPT group,
leading to exponential suppression of undesired
couplings.",[],[]
"We present a new formulation for Yang-Mills scattering amplitudes in any number of dimensions and at any loop order, based on the same combinatorial and binary-geometric ideas in kinematic space recently used to give an all-order description of Tr ϕ3superscriptitalic-ϕ3\phi^{3}italic_ϕ start_POSTSUPERSCRIPT 3 end_POSTSUPERSCRIPT theory. We propose that in a precise sense the amplitudes for a suitably “stringy” form of these two theories are identical, up to a simple shift of kinematic variables. This connection is made possible by describing the amplitudes for n𝑛nitalic_n gluons via a “scalar scaffolding”, arising from the scattering of 2⁢n2𝑛2n2 italic_n colored scalars coming in n𝑛nitalic_n distinct pairs of flavors fusing to produce the gluons. Fundamental properties of the “u𝑢uitalic_u-variables”, describing the “binary geometry” for surfaces appearing in the topological expansion, magically guarantee that the kinematically shifted Tr ϕ3superscriptitalic-ϕ3\phi^{3}italic_ϕ start_POSTSUPERSCRIPT 3 end_POSTSUPERSCRIPT amplitudes satisfy the physical properties needed to be interpreted as scaffolded gluons. These include multilinearity, gauge invariance, and factorization on tree- and loop- level gluon cuts. Our “stringy” scaffolded gluon amplitudes coincide with amplitudes in the bosonic string for extra-dimensional gluon polarizations at tree-level, but differ (and are simpler) at loop-level. We provide many checks on our proposal, including matching non-trivial leading singularities through two loops. The simple counting problem underlying the u𝑢uitalic_u variables autonomously “knows” about everything needed to convert colored scalar to gluon amplitudes, exposing a striking “discovery” of Yang-Mills amplitudes from elementary combinatorial ideas in kinematic space.",[],[]
,[],[]
"Dark matter constitutes 26%percent2626\%26 % of the total energy in our universe, but its nature remains elusive. Among the assortment of viable dark matter candidates, particles and fields with masses lighter than 40⁢e⁢V40eV40\mathrm{eV}40 roman_e roman_V, called ultralight dark matter, stand out as particularly promising thanks to their feasible production mechanisms, consistency with current observations, and diverse and testable predictions. In light of ongoing and forthcoming experimental and observational efforts, it is important to advance the understanding of ultralight dark matter from theoretical and phenomenological perspectives: How does it interact with itself, ordinary matter, and gravity? What are some promising ways to detect it?
In this thesis, we aim to explore the dynamics and interaction of ultralight dark matter and other astrophysically accessible hypothetical fields in a relatively model-independent way. Without making specific assumptions about their ultraviolet physics, we first demonstrate a systematic approach for constructing a classical effective field theory for both scalar and vector dark fields and discuss conditions for its validity. Then, we explore the interaction of ultralight dark fields, both gravitational and otherwise, within various contexts such as nontopological solitons, neutron stars, and gravitational waves.",[],[]
"The subsolar mass  primordial black hole (PBH) attracts attention as robust evidence of its primordial origin against the astrophysical black hole.
Not only with themselves, PBHs can also form binaries with ordinary astrophysical objects, catching them by  gravitational wave (GW) bremsstrahlung.
We discuss the detectability of the inspiral GWs from binaries consisting of a PBH and a  white dwarf (WD) by using space-borne gravitational wave interferometers like DECIGO. The conservative assessment shows the expected event number in three years by DECIGO is 𝒪⁢(10−6)𝒪superscript106\mathcal{O}(10^{-6})caligraphic_O ( 10 start_POSTSUPERSCRIPT - 6 end_POSTSUPERSCRIPT ) for MPBH∼0.1⁢M⊙similar-tosubscript𝑀PBH0.1subscript𝑀direct-productM_{\textrm{PBH}}\sim 0.1M_{\odot}italic_M start_POSTSUBSCRIPT PBH end_POSTSUBSCRIPT ∼ 0.1 italic_M start_POSTSUBSCRIPT ⊙ end_POSTSUBSCRIPT.
Possible enhancement mechanisms of WD-PBH binary formation may amplify this event rate. We discuss how large enhancement associated with WDs is required to detect WD-PBH merger events without violating the existing constraints on the PBH-PBH merger by the ground-based detector.",[],['Japan']
