0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Basic fibroblast growth factor,Phosphate,Pyrophosphate,Stem cells isolated from human exfoliated deciduous teeth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Convolutional Neural Network,Deep Learning,Event Embedding,Long Short-term Memory,Risk-Reward Function,Stock Market Prediction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affine Transforms,Computer-Aided Diagnosis,Convolutional Neural Network,Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Functional fitness,Khon exercise,Older persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcohol consumption,Buddhist Lent,Community-based program,Social return on investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elderly,Hypertension,Medication adherence,Medication management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dental hygiene,Dry brushing,Fluoride retention,Fluoride toothpaste,Mouth rinsing,Pharmacokinetic model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calmodulin,CaM,Rice,Salt stress,Transcriptome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3d printing,Multi-spectral imaging,Spectral reproduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbonized briquette,Coffee ground/tea waste,Rain tree (Samanea Saman),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventory systems,Mixed-integer programming,Multi-echelon systems,Seasonal demand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circumferential through-wall crack,Elbow,Failure assessment diagram,J-integral,Pipe,Reference stress method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNSS,PPP,PWV,Troposphere,Water content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alginate,Arbuscular mycorrhizal,Encapsulation,Organic fertilizer,Pellets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct and indirect water usage,Economic system,Gross domestic product,Input,Output model,Water usage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNA sequencing,Molecular biology,Nanochannel,Nanofabrication,Nanopore,Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2emissions,Economic growth,Long-termrelationship,Policy modeling,SEM-VECMmodel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Composite,Esterification,Mechanochemistry,Microcrystalline cellulose,Surface modification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alkaline hot compressed water fractionation,Lignin depolymerization,Microwave reaction,Palm empty fruit bunch,Phenolic compounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electrocatalysts,g-C3N4,HER,Ni2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fibrinogen,liver biopsy,sheep-derived fibrin glue,swine,thrombin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enterococcus,pig,plasmid,pork,Thai-Lao border provinces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
angiogenesis,computed tomography,dog,oral,tumor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,efficacy,Newcastle disease virus,recombinant HVT-NDV vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergence,Novel,Porcine epidemic diarrhea virus,Spike gene,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrenal glands,Cats,Computed Tomography,Normal,Ultrasonography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aedes aegypti,Bacteria,Culex quinquefasciatus,Midgut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google Trends,Nowcasting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat,congestive heart failure,hypertrophic cardiomyopathy,survival time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bone mineral contents,Estrogen deficiency,Macaca fascicularis,Osteoporosis,Pueraria mirifica,X-ray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boolean satis?ability problems,Symmetry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approximation algorithm,Division,Double-base number system,Integer,Preprocessing table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi LSTM,Convolutional Neural Network,Detection,Hard Disk Drive,LSTM,Support Vector Machine,Voice Coil Motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmology observations,Galaxies evolution,Galaxies formation,Galaxies high-redshift,Submillimeter galaxies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coloured petri nets,Model,Petri nets,Railway,Timed petri nets,Train,Train schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPEL,Decomposition pattern,Microservices,SOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atopic dermatitis,Barrier,Filaggrin,Lipid,Tight junction,Treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microbial Transglutaminase (MTGase),Sodium Bicarbonate,Sodium Tripolyphosphate (STPP),Water Holding Capacity,White Shrimp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chikungunya,Dengue,Mosquitoes,Thailand,Zika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germination,Herbicidal activity,Plant disease,Senna spectabilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cpfunctions,D-minimal,Definable sets,Expansion of the real field,Zero sets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biosensor,Flavonoid,Metabolic engineering,Microbial systems,Synthetic biology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neurite outgrowth,Neuro2a cells,Neurodegenerative diseases,Ten-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agitation,Emergence delirium,General anaesthesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerebral palsy,Electromyographic biofeedback,EMG biofeedback,Upper extremity and hand function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lipschitz retraction,Optimal retraction,Spherical cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acinetobacter nosocomialis,Acinetobacter pittii,Carbapenem resistance,Carbapenemase,Efflux pump,Outer membrane protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amyloidosis,Dogs,Endocarditis,Enterobacter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+)-α-Tocuspirone,Cytotoxicity,Dalbergia velutina,Leguminosae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bending strength,Compressive strength,Internode,Node,Tensile strength,Thai Dendrocalamus Giganteus Bamboo (TDG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amphipol,deuteration,membrane proteins,small-angle neutron scattering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candida albicans,Candida dubliniensis,Candida parapsilosis,Dendritic cells,Mannan,Oral candidiasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Hepatitis,Immunosuppression,Kidney transplantation,Virus diseases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hadron-Hadron scattering (experiments),Jet physics,Jets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdS-CFT Correspondence,Classical Theories of Gravity,Conformal and W Symmetry,Integrable Field Theories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apoptosis,Bronchogenic carcinoma,Cathepsin S,Melittin,Tumor-associated macrophage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decrease in mortality,multicenter,pediatric,septic shock,severe sepsis,surviving sepsis campaign care bundles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healing,Mucoprotective agent,Post-gastric ESD,PPI,Ulcer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galaxies Active,Galaxies Evolution,Galaxies High-redshift,Galaxies Photometry,Galaxies Star formation,Submillimeter Galaxies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clustering coefficients,Gene co-expression network,Network analysis,Rice genome,RNA sequencing,Salt stress,Salt-tolerant genes,Two-state networks,‘khao dawk mali 105’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galaxies evolution,Galaxies high redshift,Galaxies ISM-galaxies star formation,Galaxies starburst,Submillimetre galaxies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Booting stage,Light saturation point,Nucleolin,Photosynthesis,RNA binding protein,Salt stress,Transcriptome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institutional theory,Legitimacy threat,Public sector accounting,Service performance reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filter paper card,Gene flow,Lyles flying fox,Population,Pteropus lylei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summarization,Thai,Topic extraction,Translation,Word segmentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atrial fibrillation,contrast-induced nephropathy,mortality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information retrieval,Keyword extraction,Social media mining,Stop words,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adenovirus,cidofovir,intravenous immunoglobulin,solid organ transplant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EmrAB,MexAB-OprM,PA2100,PA3898,Phenazine,Pseudomonas aeruginosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acute coronary syndrome,Cholesterol,coronary heart disease,lipids,myocardial infarction,statins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conduct,Education,Ethics,Medical physics,Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cine-magnetic resonance (MR) imaging,Deglutition,Movement,Tongue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
condoms,primary prevention,risk reduction behavior,sexually transmitted diseases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethylene/1-hexene copolymerization,Lewis acid,Linear low-density polyethylene,Ziegler-natta catalysts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bleeding,endoscopic submucosal dissection,gastric neoplasms,proton-pump inhibitor,vonoprazan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bamboo,Charcoal production,Heat distribution pipe,Metal kiln,Wood vinegar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic depression,Forced swimming test,LPS,Neuroinflammation,SAT1,Tryptophan catabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcia optima,Metals,Phuket,Risk assessment,Sediment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ammonia-oxidizing archaea,Ammonia-oxidizing bacteria,Autotrophic growth,DNA-stable isotope probing,Wastewater treatment plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagerstroemia speciosa,Pterocarpus indicus,Sap flux density,Swietenia macrophylla,Urban trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACEIs,ARBs,CCBs,Clinical outcomes,Hypertension,Meta-analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breast cancer,Digital image analysis,Dual in-situ hybridization,HER2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chitosan,Chromosome maintenance protein 1,Damnacanthal,Nanoparticles,Non-steroidal anti-inflammatory drugs- activated gene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merozoite surface protein 1 (MSP1),Merozoite surface protein 3 (MSP3),Plasmodium vivax,Polymorphism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clavicle,Coracohumeral ligament,Coracoid process,Glenohumeral joint capsule,Pectoralis minor muscle,Variation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cracked beam,Linear elastic fracture mechanics,Scaling law,Structural similarity,The principle of conservation of energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacterial cellulose,Dressing,PHMB,Sericin,STSG donor site,Treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family caregiving,intergenerational support,long-term care,older persons,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cadmium,Contaminant transport,Groundwater,HYDRUS-1D,Montmorillonite colloids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elastic layer,Foundations,Poroelasticity,Soil–structure interaction,Transversely isotropic,Vertical vibrations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cancer stem cells,CD133,cell culture model,chorioallantoic membrane assay,hepatocellular carcinoma,tumour cell aggressiveness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alkaline pretreatment,bioethanol,Napier grass,pretreatment,simultaneous saccharification and fermentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bio-oil,Biochar,Lightweight biomass,Pyrolysis,Sugarcane leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobb angle,Dowagers hump,Round back,Spine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCD,Isotherm model,LLE,Optimization,Pd(II) purification,RSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bone lining cells,Gsα,Neutralizing antibody,Osteoblasts,Osteocytes,Sclerostin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fungal peritonitis,Intracatheter,Paradoxical,Peritoneal dialysis (PD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcohol,Dependence,Gabapentin,Heavy drinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finite element limit analysis,Hoek-Brown,Lower bound,Rock mass,Semidefinite programming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insertion,LPL,LPL activity,LPL mass,Mutation,Novel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benzalkonium chloride,Dexamethasone,Eye drops,Penetration enhancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab-initio calculation,Density functional theory,High pressure,II-VI ternary alloys,Phase stability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immunity,Lactic acid bacteria,Probiotic,proPO system,Shrimp,Vibrio parahaemolyticus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cytogenetic risks,Induction treatment,Performance status,Senility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomarkers,Cardiomyopathy,Diabetes mellitus,Diastolic dysfunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antimicrobials,Flavobacterium columnare,Mutation,Quinolone,Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black TiO2,Glycerol,Photocatalytic oxidation,Reactive oxidizing species,Scavengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chronic rhinosinusitis,disease severity,endoscopic sinus surgery,eosinophilia rhinitis and nasal polyposis,paranasal sinus disease,recurrence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Covariance,Flow regime,Interfacial area concentration,Rod bundle,Void fraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duck Tembusu virus,free-grazing ducks,serological survey,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dielectric cure monitoring,rubber cure characterization,rubber cure monitoring system,vulcanization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFT,Dispersion,Indigo,TD-DFT,UV–Visible spectra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back-arc basin,Basalt,Detrital zircon U-Pb dating,Paleo-Tethys,Sandstone provenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arterial anastomosis,filler injection,forehead arteries,ocular complication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Associated sigma-algebra,Copula,Factorizability,Markov operator,Non-atomic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aluminum antimonides,Doping,III-V materials,N-type AlSb,Optoelectronic devices,P-type AlSb,Radiation detector,Semiconductor materials,Si substrate,Sputtering deposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cortical bone,FcγRIIB,Microindentation,Systemic lupus erythematosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancer cells,Chitosan,Chitosan oligosaccharides,Degradation,Electrical discharge plasma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL amyloidosis,Amyloid fibril formation,EGCG,Inhibition mechanism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballistic impact performance,Finite element,Polybenzoxazine,Polymer composite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbonic anhydrase inhibitor,Human carbonic anhydrase isozyme II,NCE103,Resazurin,Saccharomyces cerevisiae,Yeast-based assay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End stage kidney disease,Nephrology nurses,Perception,Sexual health issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allergic,decongestant,rhinitis,steroids,vasoconstrictor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemometrics,Hyperspectral imaging,Processed meat,Quality attributes,Shelf life,Wavelength selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabrics/textiles,Fibre/matrix bond,Finite element analysis (FEA),Layered structures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alginate,Cancer,Chitosan,Curcumin diglutaric acid,Nanoparticles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bias,cohort studies,evidence,meta-analyses,obesity,risk factors,treatment,umbrella review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorimetric detection,Hexavalent chromium,Hollow fiber membrane liquid phase microextraction,Microfluidic paper-based analytical devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aujeszkys disease virus,gB,gE,gI,oral fluid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acemannan,Aloe vera,Bone repair,Histopathology,Microcomputed tomography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alanine (PubChem CID 5950),Aspartate (PubChem CID 5960),Citrate (PubChem CID 31348),Cysteine (PubChem CID 5862),Durian,Durio zibethinus,Flavor,Glutamate (PubChem CID 33032),Glutathione,Glutathione (PubChem CID 124886),Leucine (PubChem CID 6106),Malate (PubChem CID 525),Metabolic profiling,Ophthalmate (PubChem CID 7018721),Sulfur-containing metabolites,γ-Glutamylcysteine,γ-Glutamylcysteine (PubChem CID 123938),,,,,,,,,,,,,,,,,,,,,,
Amylopectin,Amylose,Gelatinization,Mango seed kernel starch,Pasting,Retrogradation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adsorption isotherm,Enzymatic hydrolysis,Hydrophilic-hydrophobic,Nonionic surfactant,Palm fruit bunch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geitlerinema,H2production,Marine cyanobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depression,Elderly,Indonesia,Nursing home,Prevalence,Risk factors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bio-composite hydrogel,Cellulose,Vulcanized natural rubber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar disorder,Cytokines,Inflammation,Major depression,Neuroimmune,Oxidative and nitrosative stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endoplasmic reticulum stress,Molecular neurobiology,Mood disorders,Neurodegeneration,Neuroprogression,Unfolded protein response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apis dorsata,Giant honeybee,migratory species,Thailand,tRNA structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adsorption,Amine functional group,Aminosilane,Clofibric acid,Hexagonal mesoporous silica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chip formation,CNC turning,Decomposed cutting force,Prediction,Tool wear,Wavelet transform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aragonite skeleton,COI,Koh Tao,Thailand,mtMutS,Rarity,Symbiodinium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental policy,fertility,great transition,human capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16S,barcoding,biodiversity,Bocas del Toro,Caribbean,Hydrozoa,identification tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced cancer patients,Buddhist beliefs about death,Death acceptance,Death anxiety,Self-efficacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bile duct carcinoma,Extracellular matrix,Hepatocytes,Notch signaling,Periostin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community-based recycling,Curbside pickup,MSW,Socioeconomics factor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nanofiltration membrane,Organic solvent recovery,Solvent resistant membranes,Thin film nanocomposite membrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas separation,Gas transport mechanism,Hazardous gas removal,Mixed matrix membrane,Zeolite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Conditioner. Thermal Comfort,Direct Load Control,Load Aggregator,Load Scheduling Algorithm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECHONET Lite,HEMS,MQTT,Smart Water Heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Methodologies,Demand Response,Levenberg-Marquardt algorithm,Neural Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECHONET Lite,Gateway,OpenADR,Raspberry Pi 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cloud removal,haze removal,HSI color space,image enhancement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. yinchanianum,Diplazium chioui D.,Lobatum,Southeast Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demagnetization,Magnetization,NdFeB,Permanent magnet material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GaSb/GaAs,InAs/GaAs,molecular beam epitaxy,quantum dot solar cells,self-assembled quantum dots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global identity,Purchase intention,Self-verification process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Convolutional Neural Network,Deep Learning,Event Embedding,Long Short-term Memory,Stock Market Prediction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18S rRNA gene,Coral,Diversity,Fungi,Microbiome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fatty acid synthase inhibitor,molecular docking,molecular dynamics simulations,rosmarinic acid,thioesterase domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrenal gland volume,foetal zone enlargement,placental alpha microglobulin-1,preterm labour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antioxidant,diabetes,flavan,Horsfieldia motleyi,Myristicaceae,Myristinin,α-glucosidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dry reforming,Mesoporous support,Ni/TiN-SBA-15,Promoter,Titanium nitride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
